NÆo.	As equipes que ficarem em terceiro lugar													1A	1B	1D	1E	1G	1I	1K	1L
109		B	C		E	F	G	H	EU	J				3H	3G	3B	3C	3J	3F	3E	3I
110		B	C	D				H	EU	J	K	L		3H	3J	3B	3C	3I	3D	3L	3 mil
111		B	C	D			G		EU	J	K	L		3I	3G	3B	3C	3J	3D	3L	3 mil
112		B	C	D			G	H		J	K	L		3H	3G	3B	3C	3J	3D	3L	3 mil
113		B	C	D			G	H	EU		K	L		3H	3G	3B	3C	3I	3D	3L	3 mil
114		B	C	D			G	H	EU	J		L		3H	3G	3B	3C	3J	3D	3L	3I
115		B	C	D			G	H	EU	J	K			3H	3G	3B	3C	3J	3D	3I	3 mil
116		B	C	D		F			EU	J	K	L		3C	3J	3B	3D	3I	3F	3L	3 mil
117		B	C	D		F		H		J	K	L		3C	3J	3B	3D	3H	3F	3L	3 mil
118		B	C	D		F		H	EU		K	L		3C	3I	3B	3D	3H	3F	3L	3 mil
119		B	C	D		F		H	EU	J		L		3C	3J	3B	3D	3H	3F	3L	3I
120		B	C	D		F		H	EU	J	K			3C	3J	3B	3D	3H	3F	3I	3 mil
121		B	C	D		F	G			J	K	L		3C	3G	3B	3D	3J	3F	3L	3 mil
122		B	C	D		F	G		EU		K	L		3C	3G	3B	3D	3I	3F	3L	3 mil
123		B	C	D		F	G		EU	J		L		3C	3G	3B	3D	3J	3F	3L	3I
124		B	C	D		F	G		EU	J	K			3C	3G	3B	3D	3J	3F	3I	3 mil
125		B	C	D		F	G	H			K	L		3C	3G	3B	3D	3H	3F	3L	3 mil
126		B	C	D		F	G	H		J		L		3C	3G	3B	3D	3H	3F	3L	3J
127		B	C	D		F	G	H		J	K			3H	3G	3B	3C	3J	3F	3D	3 mil
128		B	C	D		F	G	H	EU			L		3C	3G	3B	3D	3H	3F	3L	3I
129		B	C	D		F	G	H	EU		K			3C	3G	3B	3D	3H	3F	3I	3 mil
130		B	C	D		F	G	H	EU	J				3H	3G	3B	3C	3J	3F	3D	3I
131		B	C	D	E				EU	J	K	L		3E	3J	3B	3C	3I	3D	3L	3 mil
132		B	C	D	E			H		J	K	L		3E	3J	3B	3C	3H	3D	3L	3 mil
133		B	C	D	E			H	EU		K	L		3E	3I	3B	3C	3H	3D	3L	3 mil
134		B	C	D	E			H	EU	J		L		3E	3J	3B	3C	3H	3D	3L	3I
135		B	C	D	E			H	EU	J	K			3E	3J	3B	3C	3H	3D	3I	3 mil
136		B	C	D	E		G			J	K	L		3E	3G	3B	3C	3J	3D	3L	3 mil
137		B	C	D	E		G		EU		K	L		3E	3G	3B	3C	3I	3D	3L	3 mil
138		B	C	D	E		G		EU	J		L		3E	3G	3B	3C	3J	3D	3L	3I
139		B	C	D	E		G		EU	J	K			3E	3G	3B	3C	3J	3D	3I	3 mil
140		B	C	D	E		G	H			K	L		3E	3G	3B	3C	3H	3D	3L	3 mil
141		B	C	D	E		G	H		J		L		3H	3G	3B	3C	3J	3D	3L	3E
142		B	C	D	E		G	H		J	K			3H	3G	3B	3C	3J	3D	3E	3 mil
143		B	C	D	E		G	H	EU			L		3E	3G	3B	3C	3H	3D	3L	3I
144		B	C	D	E		G	H	EU		K			3E	3G	3B	3C	3H	3D	3I	3 mil
145		B	C	D	E		G	H	EU	J				3H	3G	3B	3C	3J	3D	3E	3I
146		B	C	D	E	F				J	K	L		3C	3J	3B	3D	3E	3F	3L	3 mil
147		B	C	D	E	F			EU		K	L		3C	3E	3B	3D	3I	3F	3L	3 mil
148		B	C	D	E	F			EU	J		L		3C	3J	3B	3D	3E	3F	3L	3I
149		B	C	D	E	F			EU	J	K			3C	3J	3B	3D	3E	3F	3I	3 mil
150		B	C	D	E	F		H			K	L		3C	3E	3B	3D	3H	3F	3L	3 mil
151		B	C	D	E	F		H		J		L		3C	3J	3B	3D	3H	3F	3L	3E
152		B	C	D	E	F		H		J	K			3C	3J	3B	3D	3H	3F	3E	3 mil
153		B	C	D	E	F		H	EU			L		3C	3E	3B	3D	3H	3F	3L	3I
154		B	C	D	E	F		H	EU		K			3C	3E	3B	3D	3H	3F	3I	3 mil
155		B	C	D	E	F		H	EU	J				3C	3J	3B	3D	3H	3F	3E	3I
156		B	C	D	E	F	G				K	L		3C	3G	3B	3D	3E	3F	3L	3 mil
157		B	C	D	E	F	G			J		L		3C	3G	3B	3D	3J	3F	3L	3E
158		B	C	D	E	F	G			J	K			3C	3G	3B	3D	3J	3F	3E	3 mil
159		B	C	D	E	F	G		EU			L		3C	3G	3B	3D	3E	3F	3L	3I
160		B	C	D	E	F	G		EU		K			3C	3G	3B	3D	3E	3F	3I	3 mil
161		B	C	D	E	F	G		EU	J				3C	3G	3B	3D	3J	3F	3E	3I
162		B	C	D	E	F	G	H				L		3C	3G	3B	3D	3H	3F	3L	3E
163		B	C	D	E	F	G	H			K			3C	3G	3B	3D	3H	3F	3E	3 mil
164		B	C	D	E	F	G	H		J				3H	3G	3B	3C	3J	3F	3D	3E
165		B	C	D	E	F	G	H	EU					3C	3G	3B	3D	3H	3F	3E	3I
166	UM					F	G	H	EU	J	K	L		3H	3J	3I	3F	3A	3G	3L	3 mil
167	UM				E		G	H	EU	J	K	L		3E	3J	3I	3A	3H	3G	3L	3 mil
168	UM				E	F		H	EU	J	K	L		3E	3J	3I	3F	3A	3H	3L	3 mil
169	UM				E	F	G		EU	J	K	L		3E	3J	3I	3F	3A	3G	3L	3 mil
170	UM				E	F	G	H		J	K	L		3E	3G	3J	3F	3A	3H	3L	3 mil
171	UM				E	F	G	H	EU		K	L		3E	3G	3I	3F	3A	3H	3L	3 mil
172	UM				E	F	G	H	EU	J		L		3E	3G	3J	3F	3A	3H	3L	3I
173	UM				E	F	G	H	EU	J	K			3E	3G	3J	3F	3A	3H	3I	3 mil
174	UM			D			G	H	EU	J	K	L		3H	3J	3I	3D	3A	3G	3L	3 mil
175	UM			D		F		H	EU	J	K	L		3H	3J	3I	3D	3A	3F	3L	3 mil
176	UM			D		F	G		EU	J	K	L		3I	3G	3J	3D	3A	3F	3L	3 mil
177	UM			D		F	G	H		J	K	L		3H	3G	3J	3D	3A	3F	3L	3 mil
178	UM			D		F	G	H	EU		K	L		3H	3G	3I	3D	3A	3F	3L	3 mil
179	UM			D		F	G	H	EU	J		L		3H	3G	3J	3D	3A	3F	3L	3I
180	UM			D		F	G	H	EU	J	K			3H	3G	3J	3D	3A	3F	3I	3 mil
181	UM			D	E			H	EU	J	K	L		3E	3J	3I	3D	3A	3H	3L	3 mil
182	UM			D	E		G		EU	J	K	L		3E	3J	3I	3D	3A	3G	3L	3 mil
183	UM			D	E		G	H		J	K	L		3E	3G	3J	3D	3A	3H	3L	3 mil
184	UM			D	E		G	H	EU		K	L		3E	3G	3I	3D	3A	3H	3L	3 mil
185	UM			D	E		G	H	EU	J		L		3E	3G	3J	3D	3A	3H	3L	3I
186	UM			D	E		G	H	EU	J	K			3E	3G	3J	3D	3A	3H	3I	3 mil
187	UM			D	E	F			EU	J	K	L		3E	3J	3I	3D	3A	3F	3L	3 mil
188	UM			D	E	F		H		J	K	L		3H	3J	3E	3D	3A	3F	3L	3 mil
189	UM			D	E	F		H	EU		K	L		3H	3E	3I	3D	3A	3F	3L	3 mil
190	UM			D	E	F		H	EU	J		L		3H	3J	3E	3D	3A	3F	3L	3I
191	UM			D	E	F		H	EU	J	K			3H	3J	3E	3D	3A	3F	3I	3 mil
192	UM			D	E	F	G			J	K	L		3E	3G	3J	3D	3A	3F	3L	3 mil
193	UM			D	E	F	G		EU		K	L		3E	3G	3I	3D	3A	3F	3L	3 mil
194	UM			D	E	F	G		EU	J		L		3E	3G	3J	3D	3A	3F	3L	3I
195	UM			D	E	F	G		EU	J	K			3E	3G	3J	3D	3A	3F	3I	3 mil
196	UM			D	E	F	G	H			K	L		3H	3G	3E	3D	3A	3F	3L	3 mil
197	UM			D	E	F	G	H		J		L		3H	3G	3J	3D	3A	3F	3L	3E
198	UM			D	E	F	G	H		J	K			3H	3G	3J	3D	3A	3F	3E	3 mil
199	UM			D	E	F	G	H	EU			L		3H	3G	3E	3D	3A	3F	3L	3I
200	UM			D	E	F	G	H	EU		K			3H	3G	3E	3D	3A	3F	3I	3 mil
201	UM			D	E	F	G	H	EU	J				3H	3G	3J	3D	3A	3F	3E	3I
202	UM		C				G	H	EU	J	K	L		3H	3J	3I	3C	3A	3G	3L	3 mil
203	UM		C			F		H	EU	J	K	L		3H	3J	3I	3C	3A	3F	3L	3 mil
204	UM		C			F	G		EU	J	K	L		3I	3G	3J	3C	3A	3F	3L	3 mil
205	UM		C			F	G	H		J	K	L		3H	3G	3J	3C	3A	3F	3L	3 mil
206	UM		C			F	G	H	EU		K	L		3H	3G	3I	3C	3A	3F	3L	3 mil
207	UM		C			F	G	H	EU	J		L		3H	3G	3J	3C	3A	3F	3L	3I
208	UM		C			F	G	H	EU	J	K			3H	3G	3J	3C	3A	3F	3I	3 mil
209	UM		C		E			H	EU	J	K	L		3E	3J	3I	3C	3A	3H	3L	3 mil
210	UM		C		E		G		EU	J	K	L		3E	3J	3I	3C	3A	3G	3L	3 mil
211	UM		C		E		G	H		J	K	L		3E	3G	3J	3C	3A	3H	3L	3 mil
212	UM		C		E		G	H	EU		K	L		3E	3G	3I	3C	3A	3H	3L	3 mil
213	UM		C		E		G	H	EU	J		L		3E	3G	3J	3C	3A	3H	3L	3I
214	UM		C		E		G	H	EU	J	K			3E	3G	3J	3C	3A	3H	3I	3 mil
215	UM		C		E	F			EU	J	K	L		3E	3J	3I	3C	3A	3F	3L	3 mil
216	UM		C		E	F		H		J	K	L		3H	3J	3E	3C	3A	3F	3L	3 mil
217	UM		C		E	F		H	EU		K	L		3H	3E	3I	3C	3A	3F	3L	3 mil
218	UM		C		E	F		H	EU	J		L		3H	3J	3E	3C	3A	3F	3L	3I
219	UM		C		E	F		H	EU	J	K			3H	3J	3E	3C	3A	3F	3I	3 mil
220	UM		C		E	F	G			J	K	L		3E	3G	3J	3C	3A	3F	3L	3 mil
221	UM		C		E	F	G		EU		K	L		3E	3G	3I	3C	3A	3F	3L	3 mil
222	UM		C		E	F	G		EU	J		L		3E	3G	3J	3C	3A	3F	3L	3I
223	UM		C		E	F	G		EU	J	K			3E	3G	3J	3C	3A	3F	3I	3 mil
224	UM		C		E	F	G	H			K	L		3H	3G	3E	3C	3A	3F	3L	3 mil
225	UM		C		E	F	G	H		J		L		3H	3G	3J	3C	3A	3F	3L	3E
226	UM		C		E	F	G	H		J	K			3H	3G	3J	3C	3A	3F	3E	3 mil
227	UM		C		E	F	G	H	EU			L		3H	3G	3E	3C	3A	3F	3L	3I
228	UM		C		E	F	G	H	EU		K			3H	3G	3E	3C	3A	3F	3I	3 mil
229	UM		C		E	F	G	H	EU	J				3H	3G	3J	3C	3A	3F	3E	3I
230	UM		C	D				H	EU	J	K	L		3H	3J	3I	3C	3A	3D	3L	3 mil
231	UM		C	D			G		EU	J	K	L		3I	3G	3J	3C	3A	3D	3L	3 mil
232	UM		C	D			G	H		J	K	L		3H	3G	3J	3C	3A	3D	3L	3 mil
233	UM		C	D			G	H	EU		K	L		3H	3G	3I	3C	3A	3D	3L	3 mil
234	UM		C	D			G	H	EU	J		L		3H	3G	3J	3C	3A	3D	3L	3I
235	UM		C	D			G	H	EU	J	K			3H	3G	3J	3C	3A	3D	3I	3 mil
236	UM		C	D		F			EU	J	K	L		3C	3J	3I	3D	3A	3F	3L	3 mil
237	UM		C	D		F		H		J	K	L		3H	3J	3F	3C	3A	3D	3L	3 mil
238	UM		C	D		F		H	EU		K	L		3H	3F	3I	3C	3A	3D	3L	3 mil
239	UM		C	D		F		H	EU	J		L		3H	3J	3F	3C	3A	3D	3L	3I
240	UM		C	D		F		H	EU	J	K			3H	3J	3F	3C	3A	3D	3I	3 mil
241	UM		C	D		F	G			J	K	L		3C	3G	3J	3D	3A	3F	3L	3 mil
242	UM		C	D		F	G		EU		K	L		3C	3G	3I	3D	3A	3F	3L	3 mil
243	UM		C	D		F	G		EU	J		L		3C	3G	3J	3D	3A	3F	3L	3I
244	UM		C	D		F	G		EU	J	K			3C	3G	3J	3D	3A	3F	3I	3 mil
245	UM		C	D		F	G	H			K	L		3H	3G	3F	3C	3A	3D	3L	3 mil
246	UM		C	D		F	G	H		J		L		3C	3G	3J	3D	3A	3F	3L	3H
247	UM		C	D		F	G	H		J	K			3H	3G	3J	3C	3A	3F	3D	3 mil
248	UM		C	D		F	G	H	EU			L		3H	3G	3F	3C	3A	3D	3L	3I
249	UM		C	D		F	G	H	EU		K			3H	3G	3F	3C	3A	3D	3I	3 mil
250	UM		C	D		F	G	H	EU	J				3H	3G	3J	3C	3A	3F	3D	3I
251	UM		C	D	E				EU	J	K	L		3E	3J	3I	3C	3A	3D	3L	3 mil
252	UM		C	D	E			H		J	K	L		3H	3J	3E	3C	3A	3D	3L	3 mil
253	UM		C	D	E			H	EU		K	L		3H	3E	3I	3C	3A	3D	3L	3 mil
254	UM		C	D	E			H	EU	J		L		3H	3J	3E	3C	3A	3D	3L	3I
255	UM		C	D	E			H	EU	J	K			3H	3J	3E	3C	3A	3D	3I	3 mil
256	UM		C	D	E		G			J	K	L		3E	3G	3J	3C	3A	3D	3L	3 mil
257	UM		C	D	E		G		EU		K	L		3E	3G	3I	3C	3A	3D	3L	3 mil
258	UM		C	D	E		G		EU	J		L		3E	3G	3J	3C	3A	3D	3L	3I
259	UM		C	D	E		G		EU	J	K			3E	3G	3J	3C	3A	3D	3I	3 mil
260	UM		C	D	E		G	H			K	L		3H	3G	3E	3C	3A	3D	3L	3 mil
261	UM		C	D	E		G	H		J		L		3H	3G	3J	3C	3A	3D	3L	3E
262	UM		C	D	E		G	H		J	K			3H	3G	3J	3C	3A	3D	3E	3 mil
263	UM		C	D	E		G	H	EU			L		3H	3G	3E	3C	3A	3D	3L	3I
264	UM		C	D	E		G	H	EU		K			3H	3G	3E	3C	3A	3D	3I	3 mil
265	UM		C	D	E		G	H	EU	J				3H	3G	3J	3C	3A	3D	3E	3I
266	UM		C	D	E	F				J	K	L		3C	3J	3E	3D	3A	3F	3L	3 mil
267	UM		C	D	E	F			EU		K	L		3C	3E	3I	3D	3A	3F	3L	3 mil
268	UM		C	D	E	F			EU	J		L		3C	3J	3E	3D	3A	3F	3L	3I
269	UM		C	D	E	F			EU	J	K			3C	3J	3E	3D	3A	3F	3I	3 mil
270	UM		C	D	E	F		H			K	L		3H	3E	3F	3C	3A	3D	3L	3 mil
271	UM		C	D	E	F		H		J		L		3H	3J	3F	3C	3A	3D	3L	3E
272	UM		C	D	E	F		H		J	K			3H	3J	3E	3C	3A	3F	3D	3 mil
273	UM		C	D	E	F		H	EU			L		3H	3E	3F	3C	3A	3D	3L	3I
274	UM		C	D	E	F		H	EU		K			3H	3E	3F	3C	3A	3D	3I	3 mil
275	UM		C	D	E	F		H	EU	J				3H	3J	3E	3C	3A	3F	3D	3I
276	UM		C	D	E	F	G				K	L		3C	3G	3E	3D	3A	3F	3L	3 mil
277	UM		C	D	E	F	G			J		L		3C	3G	3J	3D	3A	3F	3L	3E
278	UM		C	D	E	F	G			J	K			3C	3G	3J	3D	3A	3F	3E	3 mil
279	UM		C	D	E	F	G		EU			L		3C	3G	3E	3D	3A	3F	3L	3I
280	UM		C	D	E	F	G		EU		K			3C	3G	3E	3D	3A	3F	3I	3 mil
281	UM		C	D	E	F	G		EU	J				3C	3G	3J	3D	3A	3F	3E	3I
282	UM		C	D	E	F	G	H				L		3H	3G	3F	3C	3A	3D	3L	3E
283	UM		C	D	E	F	G	H			K			3H	3G	3E	3C	3A	3F	3D	3 mil
284	UM		C	D	E	F	G	H		J				3H	3G	3J	3C	3A	3F	3D	3E
285	UM		C	D	E	F	G	H	EU					3H	3G	3E	3C	3A	3F	3D	3I
286	UM	B					G	H	EU	J	K	L		3H	3J	3B	3A	3I	3G	3L	3 mil
287	UM	B				F		H	EU	J	K	L		3H	3J	3B	3A	3I	3F	3L	3 mil
288	UM	B				F	G		EU	J	K	L		3I	3J	3B	3F	3A	3G	3L	3 mil
289	UM	B				F	G	H		J	K	L		3H	3J	3B	3F	3A	3G	3L	3 mil
290	UM	B				F	G	H	EU		K	L		3H	3G	3B	3A	3I	3F	3L	3 mil
291	UM	B				F	G	H	EU	J		L		3H	3J	3B	3F	3A	3G	3L	3I
292	UM	B				F	G	H	EU	J	K			3H	3J	3B	3F	3A	3G	3I	3 mil
293	UM	B			E			H	EU	J	K	L		3E	3J	3B	3A	3I	3H	3L	3 mil
294	UM	B			E		G		EU	J	K	L		3E	3J	3B	3A	3I	3G	3L	3 mil
295	UM	B			E		G	H		J	K	L		3E	3J	3B	3A	3H	3G	3L	3 mil
296	UM	B			E		G	H	EU		K	L		3E	3G	3B	3A	3I	3H	3L	3 mil
297	UM	B			E		G	H	EU	J		L		3E	3J	3B	3A	3H	3G	3L	3I
298	UM	B			E		G	H	EU	J	K			3E	3J	3B	3A	3H	3G	3I	3 mil
299	UM	B			E	F			EU	J	K	L		3E	3J	3B	3A	3I	3F	3L	3 mil
300	UM	B			E	F		H		J	K	L		3E	3J	3B	3F	3A	3H	3L	3 mil
301	UM	B			E	F		H	EU		K	L		3E	3I	3B	3F	3A	3H	3L	3 mil
302	UM	B			E	F		H	EU	J		L		3E	3J	3B	3F	3A	3H	3L	3I
303	UM	B			E	F		H	EU	J	K			3E	3J	3B	3F	3A	3H	3I	3 mil
304	UM	B			E	F	G			J	K	L		3E	3J	3B	3F	3A	3G	3L	3 mil
305	UM	B			E	F	G		EU		K	L		3E	3G	3B	3A	3I	3F	3L	3 mil
306	UM	B			E	F	G		EU	J		L		3E	3J	3B	3F	3A	3G	3L	3I
307	UM	B			E	F	G		EU	J	K			3E	3J	3B	3F	3A	3G	3I	3 mil
308	UM	B			E	F	G	H			K	L		3E	3G	3B	3F	3A	3H	3L	3 mil
309	UM	B			E	F	G	H		J		L		3H	3J	3B	3F	3A	3G	3L	3E
310	UM	B			E	F	G	H		J	K			3H	3J	3B	3F	3A	3G	3E	3 mil
